
 IV Data
=========
" " 


Scan Num	Measured Voltage (V)	Reference Voltage (V)	Corrected Voltage (V)	Current (mA)	Current Error (%)	Theoretical Current (mA)
1	-54,98356	-54,34653	-54,98022	-0,6681771	1,567322	-0,5893306
1	-39,94814	-39,32	-39,94734	-0,1606316	15,31755	-0,5873489
1	-39,5929	-38,97197	-39,59211	-0,1574351	15,04286	-0,5853601
1	-39,24428	-38,62423	-39,2435	-0,1546907	14,67019	-0,583364
1	-38,89046	-38,26638	-38,88971	-0,1514401	14,24437	-0,5813605
1	-38,53444	-37,90802	-38,53369	-0,1486848	14,16228	-0,5793495
1	-38,1823	-37,56236	-38,18156	-0,1482408	12,84767	-0,5773309
1	-37,83604	-37,21008	-37,83531	-0,1471744	11,78611	-0,5753047
1	-37,48258	-36,84936	-37,48186	-0,1440787	11,93093	-0,5732706
1	-37,13015	-36,50196	-37,12945	-0,1412974	11,66685	-0,5712286
1	-36,76978	-36,14465	-36,76909	-0,1385818	11,19068	-0,5691785
1	-36,42105	-35,79291	-36,42037	-0,1371515	10,79449	-0,5671202
1	-36,06838	-35,44409	-36,0677	-0,1357906	10,68146	-0,5650536
1	-35,7122	-35,09245	-35,7116	-0,1196638	15,01035	-0,5629786
1	-35,35543	-34,73395	-35,3549	-0,1058328	19,70488	-0,560895
1	-35,01104	-34,38622	-35,01052	-0,1044917	19,57056	-0,5588026
1	-34,65877	-34,03621	-34,65825	-0,1033117	19,25919	-0,5567014
1	-34,30856	-33,67983	-34,30806	-0,1014851	18,9949	-0,5545912
1	-33,95411	-33,32558	-33,95361	-0,1005223	18,65569	-0,5524719
1	-33,59926	-32,97281	-33,59877	-9,928206E-02	18,1638	-0,5503432
1	-33,24837	-32,62615	-33,24788	-9,813189E-02	18,10124	-0,548205
1	-32,89609	-32,26523	-32,8956	-9,677365E-02	17,68784	-0,5460572
1	-32,54074	-31,91646	-32,54027	-9,530642E-02	17,20023	-0,5438997
1	-32,18921	-31,57084	-32,18874	-9,443816E-02	16,70986	-0,5417321
1	-31,83969	-31,21605	-31,83923	-9,281692E-02	16,9566	-0,5395545
1	-31,4846	-30,86248	-31,48414	-9,257823E-02	16,82494	-0,5373665
1	-31,13617	-30,50714	-31,13571	-0,09161	16,5043	-0,5351681
1	-30,78384	-30,15654	-30,78339	-9,025716E-02	15,86804	-0,5329588
1	-30,43018	-29,7971	-30,42973	-8,921056E-02	15,42656	-0,5307388
1	-30,07716	-29,45302	-30,07672	-8,841885E-02	14,85945	-0,5285076
1	-29,72483	-29,09852	-29,7244	-8,726957E-02	14,5817	-0,5262651
1	-29,37226	-28,74411	-29,37183	-8,624279E-02	14,57738	-0,5240111
1	-29,01405	-28,39589	-29,01362	-8,546459E-02	14,30034	-0,5217454
1	-28,6635	-28,03901	-28,66308	-8,439728E-02	14,08321	-0,5194678
1	-28,30693	-27,68373	-28,30652	-8,203747E-02	13,02316	-0,5171779
1	-27,96176	-27,32942	-27,96137	-7,692336E-02	9,331339	-0,5148757
1	-27,60869	-26,98252	-27,6083	-7,622802E-02	9,173651	-0,5125607
1	-27,25088	-26,62027	-27,25049	-7,614877E-02	9,395947	-0,5102328
1	-26,89993	-26,27303	-26,89956	-7,512648E-02	8,80143	-0,5078917
1	-26,54385	-25,9165	-26,54348	-7,471666E-02	8,619394	-0,5055371
1	-26,19335	-25,56555	-26,19298	-7,368178E-02	8,011397	-0,5031688
1	-25,83682	-25,21535	-25,83646	-7,309093E-02	8,198473	-0,5007864
1	-25,48602	-24,86341	-25,48566	-7,256853E-02	7,885145	-0,4983897
1	-25,12906	-24,50729	-25,12869	-7,204613E-02	8,025822	-0,4959783
1	-24,78601	-24,1552	-24,78565	-7,145527E-02	7,990064	-0,4935519
1	-24,42736	-23,80396	-24,427	-7,114545E-02	7,94533	-0,4911101
1	-24,07325	-23,44921	-24,0729	-7,052577E-02	7,731047	-0,4886528
1	-23,72389	-23,09426	-23,72354	-7,029519E-02	7,757056	-0,4861794
1	-23,37027	-22,74539	-23,36993	-6,923688E-02	7,553385	-0,4836896
1	-23,01789	-22,39326	-23,01755	-0,0692585	7,137258	-0,481183
1	-22,66498	-22,03792	-22,66463	-6,832898E-02	7,269057	-0,4786592
1	-22,30939	-21,68624	-22,30905	-0,0676922	7,14635	-0,4761179
1	-21,96264	-21,34156	-21,9623	-0,0670419	6,477645	-0,4735585
1	-21,60883	-20,98296	-21,60849	-6,661137E-02	6,585541	-0,4709806
1	-21,25566	-20,62382	-21,25533	-0,0663889	6,103192	-0,4683838
1	-20,90383	-20,27717	-20,9035	-6,577373E-02	6,310596	-0,4657676
1	-20,5514	-19,92582	-20,55107	-6,512613E-02	6,233689	-0,4631314
1	-20,19339	-19,56239	-20,19307	-6,468119E-02	6,19372	-0,4604747
1	-19,84081	-19,21741	-19,84049	-0,0641714	5,966652	-0,4577971
1	-19,48765	-18,86178	-19,48733	-6,335808E-02	5,812338	-0,4550978
1	-19,1371	-18,51172	-19,1368	-6,040292E-02	1,341925	-0,4523764
1	-18,7862	-18,16166	-18,7859	-5,995798E-02	1,177867	-0,4496321
1	-18,43091	-17,80474	-18,43061	-5,956168E-02	1,303809	-0,4468645
1	-18,07947	-17,45	-18,07917	-5,917528E-02	1,524478	-0,4440726
1	-17,73069	-17,09964	-17,7304	-5,871864E-02	1,367851	-0,441256
1	-17,37422	-16,74978	-17,37393	-5,838898E-02	1,258468	-0,4384136
1	-17,0212	-16,38758	-17,0209	-5,821064E-02	1,454105	-0,435545
1	-16,66773	-16,0391	-16,66744	-5,759908E-02	1,724876	-0,4326491
1	-16,31555	-15,69304	-16,31527	-5,721629E-02	1,767615	-0,4297251
1	-15,96293	-15,33854	-15,96264	-5,696499E-02	1,716857	-0,4267722
1	-15,60936	-14,98433	-15,60908	-5,646781E-02	1,911555	-0,4237893
1	-15,25674	-14,62682	-15,25646	-5,607421E-02	1,227063	-0,4207754
1	-14,9049	-14,27894	-14,90463	-5,549777E-02	1,303591	-0,4177296
1	-14,55376	-13,92374	-14,55348	-5,515641E-02	1,285316	-0,4146506
1	-14,19837	-13,57265	-14,1981	-5,473848E-02	1,765654	-0,4115374
1	-13,84476	-13,21134	-13,84448	-5,429174E-02	1,361227	-0,4083885
1	-13,4947	-12,86567	-13,49443	-5,369189E-02	1,254235	-0,4052027
1	-13,14119	-12,51063	-13,14092	-5,310734E-02	1,474737	-0,4019787
1	-12,78649	-12,16398	-12,78622	-5,276327E-02	0,8882706	-0,3987148
1	-12,43431	-11,80947	-12,43405	-5,249577E-02	1,061494	-0,3954096
1	-12,08395	-11,44964	-12,08369	-5,219584E-02	1,108235	-0,3920613
1	-11,72713	-11,1023	-11,72687	-5,173739E-02	0,722185	-0,3886681
1	-11,37791	-10,74972	-11,37766	-5,119158E-02	0,9064118	-0,3852281
1	-11,02242	-10,38999	-11,02217	-5,070971E-02	1,427622	-0,3817392
1	-10,67138	-10,03924	-10,67113	-5,009183E-02	1,295585	-0,3781993
1	-10,32014	-9,696588	-10,31989	-4,949377E-02	1,225779	-0,3746059
1	-9,96134	-9,334929	-9,961095	-4,896777E-02	1,122867	-0,3709565
1	-9,61454	-8,986994	-9,614297	-4,858859E-02	1,029037	-0,3672483
1	-9,260978	-8,638317	-9,260736	-4,839674E-02	0,9604854	-0,3634785
1	-8,909636	-8,277696	-8,909397	-4,790496E-02	0,9565056	-0,3596437
1	-8,556369	-7,926699	-8,556132	-4,738797E-02	1,434843	-0,3557404
1	-8,202954	-7,575901	-8,202719	-4,709344E-02	1,088588	-0,351765
1	-7,850181	-7,222733	-7,84995	-4,617924E-02	1,671571	-0,3477132
1	-7,499136	-6,863345	-7,498907	-0,0457442	1,643092	-0,3435805
1	-7,145424	-6,515754	-7,145199	-0,0450822	0,923573	-0,3393619
1	-6,787813	-6,161155	-6,787591	-4,437967E-02	0,9944916	-0,335052
1	-6,443235	-5,812479	-6,443016	-0,0437717	0,731198	-0,3306447
1	-6,086365	-5,460693	-6,086148	-4,331955E-02	1,172503	-0,3261332
1	-5,734184	-5,107031	-5,73397	-4,282688E-02	1,161421	-0,3215101
1	-5,381509	-4,749025	-5,381298	-4,210722E-02	1,614758	-0,316767
1	-5,032241	-4,400695	-5,032033	-4,160554E-02	0,8579763	-0,3118944
1	-4,679468	-4,047132	-4,679264	-4,093453E-02	1,306492	-0,3068815
1	-4,325954	-3,692434	-4,325754	-4,008878E-02	1,374907	-0,301716
1	-3,970861	-3,335267	-3,970664	-3,937813E-02	1,642492	-0,2963834
1	-3,616163	-2,988961	-3,61597	-3,856571E-02	1,45436	-0,2908666
1	-3,26487	-2,637817	-3,26468	-3,793253E-02	1,467382	-0,2851447
1	-2,911061	-2,281144	-2,910874	-3,728403E-02	1,357316	-0,279191
1	-2,557745	-1,927828	-2,557562	-0,036586	1,096452	-0,2729689
1	-2,211241	-1,578806	-2,211062	-3,577268E-02	1,565341	-0,2664253
1	-1,853185	-1,22006	-1,85301	-3,500349E-02	1,608033	-0,2594757
1	-1,502239	-0,868274	-1,502068	-3,420368E-02	1,486879	-0,2519745
1	-1,149712	-0,5147603	-1,149547	-3,312735E-02	0,9911753	-0,2436541
1	-0,7908672	-0,158186	-0,7907075	-3,194655E-02	1,207816	-0,2339976
1	-0,4413029	0,1946366	-0,4411476	-3,106477E-02	1,325756	-0,2218938
1	-9,188671E-02	0,5405971	-9,173669E-02	-3,000556E-02	0,8641931	-0,2045329
1	0,2517536	0,8871501	0,2518966	-0,0286059	1,073376	-0,1783672
1	0,603885	1,241256	0,6040127	-2,554986E-02	0,5942484	-0,1343185
1	0,9504874	1,586476	0,950529	-8,336788E-03	37,54428	-5,335779E-02
1	1,306765	1,941422	1,306339	8,531506E-02	17,14619	0,1045491
1	1,654948	2,291085	1,652475	0,4945584	10,67382	0,4239286
1	1,996416	2,620952	1,988733	1,536645	4,895363	1,084552
1	2,342376	2,95383	2,330232	2,428873	2,557547	2,547334
1	2,692829	3,297569	2,67819	2,927804	1,785396	3,015921
1	3,039975	3,643332	3,023594	3,276049	1,753524	3,362028
1	3,396894	3,98796	3,378987	3,581418	1,774557	3,646909
1	3,738659	4,336636	3,719521	3,827649	1,056602	3,893445
1	4,09084	4,686595	4,070543	4,059423	1,282881	4,113373
1	4,45013	5,039121	4,42889	4,247928	1,24615	4,313613
1	4,798213	5,389871	4,776128	4,416925	1,090047	4,498629
1	5,147629	5,740817	5,12493	4,53977	1,370405	4,671071
1	5,500846	6,088901	5,477521	4,66501	1,214051	4,815995
1	5,855052	6,43728	5,831025	4,805391	0,7828587	4,952323
1	6,206146	6,79341	6,181743	4,880626	1,160641	5,08129
1	6,556302	7,141	6,531191	5,02217	1,454604	5,203875
1	6,905965	7,488935	6,880437	5,105547	1,533427	5,320862
1	7,261553	7,842991	7,235502	5,210224	1,035953	5,432898
1	7,61403	8,195716	7,587516	5,302851	1,324705	5,540513
1	7,960039	8,53896	7,932826	5,442593	1,27559	5,644158
1	8,3138	8,899879	8,286114	5,537282	0,7561311	5,744212
1	8,666375	9,252702	8,638306	5,61385	0,6897701	5,841
